"PLEASE NOTE:  A kit with all items marked with an X or ""Upgraded"" in column C is available from http://store.mendelmax.com/mendelmax-hardware-kit/",,,,,,,,,,
Item,Category,In MM.com kit,Part Number,Source,Qty Required for build,Order qty of pt number,Price Each,extended,Needed for,Notes
"10mm M5-.80 screws, bag of 100",Hardware,x,"	91292A124",McMaster,100,1,$7.68 ,$7.68 ,MendelMax,"You need exactly 100 of these screws for a standard build, so I recommend you buy a spare bag. If you only get one bag, you can probably source individual replacement screws at Fastenal or another local source, but they are at a substantial premium. You will almost certainly need spares to add accessories. I prefer stainless steel for purely aesthetic reasons, but you can save a couple dollars by using Zinc or Black Oxide. I recommend Socket Head screws, but phillips or other M5-.8 machine screws will also work, but they are more fiddly to assemble."
608ZZ Bearings,bearings,x,608ZZ10,VXB.com,7,7,$0.50 ,$3.50 ,MendelMax,"2 each are used for the X & Y idlers, 3 for the Wade's extruder. You will also need four if you use the suggested filament spool. Part number is for a 10 pack for $5, you may want to buy a larger package, these bearings are used in many reprap related projects."
8mm Thrust Bearing,bearings,Not needed,6655K54 ,McMaster,2,2,$2.79 ,$5.58 ,MendelMax,"These are optional, and are used to support the weight of the Z axis from the base of the printer, instead of from the motor shafts. This should improve reliability and extend motor life. You can safely leave these off if you prefer, and there is little benefit if you are using high quality Z couplers."
"8mm Drill Rod 36"" or 1M",hardware,upgraded,"88625K67	",McMaster,3,3,$5.13 ,$15.39 ,MendelMax,"You can use 8mm or 5/16"", and any formula of drill rod (Called ""Silver Steel"" in some parts of the world). Type O1 or W1 is usually cheapest and are perfectly suited to what we need.  Stainless is also fine, but is considerably more expensive. Plain steel rods from a hardware store are not recommended, and zinc coated rods are not suitable. "
M3 or SAE #6 washers,hardware,x,90126A509,McMaster,20,1,$1.27 ,$1.27 ,MendelMax,"McMaster part is for a box of 100. Single parts are likely at least $.05 each, so it is most cost effective to just buy 100."
Wade's Idler Stud,hardware,,90435A120,McMaster,1,1,$0.30 ,$0.30 ,Wade's,"Not required if you have a cutoff of M8 from your threaded rod, but for $.32 saves the effort of an extra cut."
"M5 nuts, box of 100 (Thin nuts preferred)",hardware,x,90695A037,McMaster,1,1,$2.78 ,$2.78 ,MendelMax,"You only need a few for the assembly, but it is best to buy 100. Zinc coated is fine. Thin nuts are preferable to normal nuts since they can be used in place of t-slot nuts in a pinch, and even used as post-install nuts (they can be inserted through the top of the slot after the bot is assembled)."
"M3-.50, 10mm long",hardware,x,91290A115,McMaster,20,1,$4.48 ,$4.48 ,MendelMax,"McMaster part is for a box of 100. Single parts are likely at least $.25 each, so it is most cost effective to just buy 100."
20-25mm M5 screws,hardware,x,91292A128,McMaster,8,1,$0.25 ,$0.25 ,MendelMax,"You need 8, but I recommend just getting a box, they will be handy for future projects. Again, Stainless and the screw head type are specified only for looks, any similar screw will work."
"M5 or #10 Washers, box of 100",Hardware,x,92141A011,McMaster,84,1,$2.33 ,$2.33 ,MendelMax,Either M5 or SAE #10 washers will work. I use SAE #10 because they are slightly cheaper in the US. I use stainless for purely aesthetic reasons.
"8mm or 5/16"" threaded rod, 36"" or 1M",hardware,upgraded,"98847A030	",McMaster,1,1,$3.89 ,$3.89 ,MendelMax,"Plain steel or stainless will work, but stainless is recommended. Do not use zinc coated rod, as the zinc can lead to binding."
GT2 Belt,Belts,x,A 6R51M497060,SDP-SI.com,2,2,$6.81 ,$13.62 ,MendelMax,"Suitable pulleys & belts are also available from Misumi, but are considerably more expensive."
GT2 Pulleys,Belts,x,A 6Z51M036DF0605,SDP-SI.com,2,2,$5.84 ,$11.68 ,MendelMax,
Linear Bushings,bearings,x,A 7Z44MPSD08MAF,SDP-SI.com,12,12,$1.48 ,$17.76 ,MendelMax,"After much debate, I have switched the recommended bushings from the previous Igus bushings, to a much easier to use Self Aligning bushing from SDP. Thease are a bit more expensive, but they are basicalaly foolproof, whereas the Igus bushings required a fairly high-precision mounting block that was difficult to reproduce accurately on a RepRap. MANY other choices are available, including LM8UU's, printed bushings, etc, but this is a good, inexpensive bushing that is very well suited to our application. Please note, SDP offers similar Bronze bushings that are a great choice with precision linear shafting, but are not recommended with drill rod. "
300mm extrusions,Extrusions,x,HFS5-2020-300,Misumi,4,4,$1.71 ,$6.84 ,MendelMax,
340mm Extrusions,Extrusions,x,HFS5-2020-340,Misumi,4,4,$1.93 ,$7.72 ,MendelMax,
420mm extrusions,Extrusions,x,HFS5-2020-420,Misumi,6,6,$2.39 ,$14.34 ,MendelMax,
"T-Slot nuts, bag of 100",Extrusions,x,HNKK5-5,Misumi,1,1,$19.32 ,$19.32 ,MendelMax,
Blind Joint Screws,Extrusions,x,HTJ5,Misumi,4,4,$0.62 ,$2.48 ,MendelMax,
Pololu A4988 Stepper driver,electronics,,http://www.lulzbot.com/en/24-pololu-a4988-stepper-motor-driver.html,Lulzbot.com,4,4,$16.00 ,$64.00 ,RAMPS,"Also available from Pololu.com or Ultimachine.com. You need four, but having a spare on hand is not a bad idea."
NEMA 17 Motor,motors,,http://www.lulzbot.com/en/48-nema-17-stepper-motors.html,lulzbot.com,4,4,$18.00 ,$72.00 ,MendelMax,"http://ultimachine.com/content/kysan-1124090-nema-17-stepper-motor is also suitable. Desired specs: NEMA17 size, 1.5A or less, 8 mH inductance or less, 62oz.in (44Ncm, 4.4kg.cm) or more of torque, 1.8 or 0.9 degrees per step (200/400 steps/rev respectively)"
RAMPS electronics,electronics,,http://www.lulzbot.com/en/49-ramps-14-assembled.html,Lulzbot.com,1,1,$85.00 ,$85.00 ,RAMPS,Ultimachine.com is also an excellent choice
"1"" heat proof spacers",hardware,Not needed,,hardware store,4,4,$0.25 ,$1.00 ,Y-axis,"Used to rigidly separate the top and bottom plate, Should be heat resistant and preferably not heat conductive. I use hardwood."
12V 30A power Supply,Electronics,,,ebay,1,1,$37.00 ,$37.00 ,," 30A is WAY more than you need, even with a 12V Heated Build Platform, but it should last longer if used well under it's specified rating, and the difference in price for an extra 10A is only about $10. You can safely use anything as low as 12V 6A with a 120V HBP and 15A with a 12V HBP. http://www.ebay.com/itm/New-12V-DC-30A-350W-Regulated-Switching-Power-Supply-MW-/120692623020?pt=LH_DefaultDomain_0&hash=item1c19d746ac is a known good US seller, but there are other options on ebay that may be better for international buyers. Search for ""12V 30A power supply"". With a 30A supply, I happily run two RepRaps from a single power supply."
"Aluminum sheet, 9..75x6x0.1"" or 1/8""",Metal,Upgraded,,OnlineMetals.com,1,1,$7.02 ,$7.02 ,Y-axis,"Y-axis carriage plate, see above."
"Aluminum sheet, 9.75x11x0.1"" or 1/8""",Metal,x,,OnlineMetals.com,1,1,$12.87 ,$12.87 ,Y-axis,"Y-axis table, scale as needed. May be cheaper if sourced locally. Other materials are possible, but this is my preferred table design. Alloy is irrelevant, the quoted price is for 3003, which is usually the cheapest."
Arduino MEGA 1280 or 2560,electronics,,,ebay.com,1,1,$30.00 ,$30.00 ,RAMPS,"Either the 1280 or 2560 works fine, I recommend the 1280."
Heated Build Platform,Electronics,Upgraded,,Ultimachine.com,1,1,$50.00 ,$50.00 ,Y Axis,"The MendelMax has a slightly larger buld area than a Prusa, but you can use a standard Prusa HBP screwed to the bottom of an aluminum heat spreader. Using a Silicone heater such as McMaster #35765K55 works great too, but requires some expert advice, so consult #mendelMax before ordering."
Hobbed bolt,hardware,,,lulzbot.com,1,1,$7.00 ,$7.00 ,Wade's,"It is possible to DIY as well, but for $7 it is not worth the effort."
Hot End,Hot End,,,Makergear,1,1,$75.00 ,$75.00 ,MendelMax,http://www.makergear.com/products/operators-pack I recommend the .5mm for 3mm filament to start with.
M5-30mm screws,hardware,x,92125A220 ($7.85 for 25pk) (McMaster Carr),hardware store,4,4,$0.30 ,$1.20 ,Y-axis,"Used to connect the two plates. I recommend flat head screws, but you will need to countersink your top plate to use these. You can buy a countersink at your local hardware store. These allow you to set the screw tops flush with the table surface so you will not crash into the screws."
"M8 or 5/16"" Nuts",hardware,x,Square: 96887A322  ($5 for 25 pk) Hex:  91828A410 ($9.98 for 50pk),Hardware store,8,8,$0.25 ,$2.00 ,MendelMax,"Any suitable nuts from your local hardware store. Do not use Zinc coated, either plain steel or stainless is fine, and the material does not need to match your rods."
"M8 or 5/16"" screw or bolt, 25-30mm long",hardware,x,91292A192 ($6.35 for 50),Hardware store,2,2,$0.50 ,$1.00 ,MendelMax,"Used to mount the the idler bearings on the X & Y axes. You may be able to use leftovers of your threaded rod, in which case you will need two extra nuts above. In the US, you can get these at Fastenal for $0.48 each: http://www.fastenal.com/web/products/detail.ex?sku=73496&ucst=t Again, I use Stainless for aesthetic reasons, but any finish or type of screw will work here as long as it is the right size."
"M8 or 5/16"" washers",Hardware,x,90126A030,hardware store,4,4,$0.25 ,$1.00 ,,Used for the idlers. If you build the optional filament spool mount you will need an additional four.
NEMA 17 Motor,motors,,,lulzbot.com,1,1,$18.00 ,$18.00 ,Wade's,An additional stepper is required if you are using a Wade's extruder. 
Printed Parts,RP,,,,1,1,$85.00 ,$85.00 ,MendelMax,"Lulzbot.com is selling sets, other sources should be available as well. http://www.lulzbot.com/en/plastic-parts/61-mendelmax-plastic-parts.html"
Wade's extruider hardware,hardware,,,Hardware store,1,1,$5.00 ,$5.00 ,Wade's,"Misc hardware required by the Wade;s extruder. Since you only need one or two of each, it is best to source these locally. See http://reprap.org/wiki/Wade%27s_Geared_Extruder for the full list. The bearings, hobbed bot (m8-50mm) and the screws and washers for the motor are already in this list."
Z Shaft couplers,hardware,x,,ebay.com,2,2,$5.00 ,$10.00 ,MendelMax,"http://www.ebay.com/itm/CNC-5x8mm-Motor-Shaft-Coupler-5mm-8mm-Coupling-/180707733213?pt=LH_DefaultDomain_0&hash=item2a13052edd#ht_4595wt_891. You can also print your own couplers, but I have found printed couplers are considerably less reliable. Printed couplers should work much better if you use the thrust bearings listed above."
,,,,,,,,$515.00 ,,
,,,,,,,,$0.00 ,,
,,,,,,,,$0.00 ,,
,,,,,,,,$0.00 ,,
MendelMax 1.5,,,,,,,,$0.00 ,,
Item Number,Quantity,Part Number,Part Name,Configuration Name,Part Type,Revision,Comment,$0.00 ,,
1,4,,608zz,,Hardware,,,$0.00 ,,
2,2,,Acme_Leadscrew,,Hardware,,,$0.00 ,,
3,2,,Bearing_Mount,,Laser Cut,,,$0.00 
4,2,,Cross Member,,Laser Cut,,,$0.00 
5,4,,HFS5-2020-300,,Extrusion,,,$0.00 
6,4,,HFS5-2020-340,,Extrusion,,,$0.00 
7,6,,HFS5-2020-420,,Extrusion,,,
8,1,,Insulation,,Hardware,,,
9,2,,Insulation Clip,,Laser Cut,,,
10,2,,Lower Vertex Lower,Right,RP,,,
11,2,,Lower Vertex Lower,Left,RP,,,
12,2,,Lower Vertex Upper,Right,RP,,,
13,2,,Lower Vertex Upper,Left,RP,,,
14,12,,m3 no6 washer,,Hardware,,,
15,14,,m3 Socket Head Cap Screw,10mm,Hardware,,,
16,94,,m5  Socket Head Cap Screw,10mm,Hardware,,,
17,4,,m5  Socket Head Cap Screw,22mm,Hardware,,,
18,2,,m5  Socket Head Cap Screw,12mm,Hardware,,,
19,9,,m5  Socket Head Cap Screw,20mm,Hardware
20,90,,m5_no10_washer,,Hardware
21,4,,m5-10 flat head,,Hardware
22,2,,m5-m6_35mm coupler,,Hardware
23,66,,m5-misumi nut-hnkk5-5,,Hardware
24,29,,M5-thin nut,,Hardware
25,3,,M8 Washer,,Hardware
26,2,,m8-30,,Hardware
27,2,,M8-nut,,Hardware
28,2,,MendelMax Leadscrew Nut,,Hardware
29,1,,MendelMax Table,,Custom
30,4,,NEMA17_47mm_deep,,Motors
31,1,,Rod_mount_fixed,,Laser Cut
32,1,,Rod_mount_float,,Laser Cut
33,4,,Self Aligning Bushing,10mm,Hardware
34,12,,Self Aligning Bushing,8mm,Hardware
35,2,,"Shaft, 10mm",405mm,Hardware
36,2,,"Shaft, 8mm",445mm,Hardware
37,2,,"Shaft, 8mm",420mm,Hardware
38,1,,Silicone Heater,,Electronics
39,2,,Table Support,,Laser Cut
40,2,,Table_attachment,,Laser Cut
41,2,,Top_Vertex_X,Logo,RP
42,2,,Top_Vertex_X,No Logo,RP
43,1,,X End Clamp for MendelMax Leadscrew,,RP
44,1,,X End Idler for MendelMax Leadscrew,,RP
45,1,,X End Motor for MendelMax Leadscrew,,RP
46,1,,Y_Motor_Mount,,RP
47,1,,Y-Idler-mount,,RP
48,1,,Y-Idler-tensioner,,RP
19,1,,Y-rod_mount_jig,,Laser Cut
50,2,,Z_lower_motor_mount_10mm,,RP
51,2,,Z_lower_motor_mount_10mm_support,Normal,RP
52,2,,Z_lower_motor_mount_10mm_support,Mirrored,RP
53,4,,Z_rod_clasp,,RP
54,2,,Z_Top_Vertex_10mm_New,,RP
